dominant_t,topic_per,keywords,text,userid,textiD,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
13,0.938899994,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","staying at Matthew's mommy's house tonight, then up early tomorrow to make our 2 day trip to Arkansas to visit his grandparents! Please excuse me while I drop off the face of the internet :)",011679a3ae49998801ada93d822b7302,782,35,98.2,92.33,99,98.56,17.5,20,88.57,42.86,11.43,11.43,5.71,2.86,0,2.86,0,0,5.71,20,0,0,5.71,0,8.57,2.86,0,0,2.86,0,5.71,5.71,0,0,0,0,17.14,5.71,0,2.86,5.71,2.86,0,2.86,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,5.71,2.86,0,2.86,0,0,0,2.86,8.57,37.14,11.43,11.43,17.14,0,0,2.86,0,0,0,2.86,0,2.86,0,0,0,11.43,0,2.86,0,0,0,2.86,0,0,5.71,0,0
13,0.758000016,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Happy Valentine's Day!! <3 This is by far the best one ever thanks to Matthew and Puffs :D,011679a3ae49998801ada93d822b7302,789,18,86.43,71.09,23.51,99,9,11.11,77.78,38.89,5.56,0,0,0,0,0,0,5.56,5.56,11.11,5.56,5.56,5.56,0,11.11,16.67,5.56,0,11.11,0,16.67,16.67,0,0,0,0,5.56,0,5.56,0,0,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,11.11,5.56,5.56,5.56,5.56,0,0,11.11,0,16.67,0,5.56,11.11,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,0,5.56,0,0,11.11,0,0,5.56,0,5.56
13,0.902499974,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","I'm falling, and I know that I should stop.  But, but flying seems impossible when I've never sprouted wings. An angel I am not, and no angel's  there to save me.",01530624766b3be63c7709c6581c335d,874,31,1,1,99,83.22,10.33,9.68,90.32,64.52,22.58,19.35,19.35,0,0,0,0,3.23,3.23,3.23,12.9,9.68,16.13,9.68,22.58,3.23,0,3.23,0,0,3.23,3.23,0,0,0,0,0,0,0,0,0,25.81,6.45,0,6.45,3.23,3.23,9.68,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,3.23,0,19.35,0,16.13,6.45,0,9.68,0,0,0,0,3.23,0,0,0,0,0,0,0,29.03,9.68,9.68,0,0,0,0,0,0,9.68,0,0
1,0.821399987,"world_H, resolv_L, defin_H, power_H, thank_H, belong_H, sticki_H, polit_H, judg_H, tat_H","Drowned all my responsibilities out by playing Ape Escape. I love it! It's been a while, but I'm kicking some serious video game butt. I want to have the option of Monkey Soccer again :3",01530624766b3be63c7709c6581c335d,931,35,52.71,12.66,62.17,78.19,8.75,14.29,94.29,48.57,17.14,11.43,11.43,0,0,0,0,5.71,5.71,11.43,11.43,2.86,5.71,0,20,2.86,0,0,2.86,5.71,8.57,5.71,2.86,0,0,0,5.71,0,0,0,0,14.29,0,0,2.86,5.71,2.86,2.86,2.86,2.86,0,0,5.71,2.86,0,0,0,8.57,5.71,0,0,0,2.86,2.86,11.43,0,11.43,2.86,2.86,5.71,2.86,11.43,0,0,2.86,2.86,2.86,2.86,0,0,0,0,20,5.71,2.86,2.86,0,0,2.86,0,0,5.71,0,0
13,0.522000015,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","It's Friday, and it's so beautiful :)",01530624766b3be63c7709c6581c335d,932,7,1,50,13.15,99,7,14.29,100,57.14,28.57,0,0,0,0,0,0,28.57,0,0,28.57,14.29,28.57,0,28.57,14.29,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,0,0,0,42.86,0,14.29,0,0,0,0,0,0,28.57,0,0
13,0.934899986,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","/Can you hear the sound? Rain is falling down as the thunder cracks. I just can't relax because I know that it will end to be never seen again. I just close my eyes for dreams that will never come./""""",01530624766b3be63c7709c6581c335d,936,40,6.2,10.58,99,72.57,10,7.5,95,65,20,12.5,10,0,2.5,0,0,7.5,5,10,12.5,12.5,5,7.5,22.5,2.5,2.5,0,0,0,2.5,2.5,0,0,0,0,5,0,0,0,0,12.5,2.5,2.5,0,0,5,2.5,12.5,5,7.5,0,2.5,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,17.5,5,20,5,5,10,0,5,0,0,0,0,0,0,0,0,0,0,22.5,7.5,0,0,0,2.5,0,0,5,2.5,0,5
13,0.805899978,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",There are really no words to explain it. I'm just a hopeless cause.,01530624766b3be63c7709c6581c335d,938,13,3.62,6.21,63.54,1,6.5,15.38,92.31,69.23,15.38,7.69,7.69,0,0,0,0,7.69,7.69,7.69,15.38,23.08,0,7.69,23.08,0,0,0,0,0,7.69,0,7.69,0,0,7.69,7.69,0,0,0,0,23.08,7.69,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,15.38,0,0,0,0,0,0,0,7.69,0,0
13,0.67869997,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",I don't think you're ever far from my thoughts...,01530624766b3be63c7709c6581c335d,946,9,1,13.32,99,25.77,9,11.11,100,66.67,33.33,33.33,22.22,0,11.11,0,0,0,0,11.11,22.22,11.11,0,11.11,33.33,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,33.33,22.22,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,55.56,33.33,0,0,0,0,0,0,0,22.22,0,0
2,0.521899998,"middl_L, got_L, eat_L, fuck_L, head_L, time_L, letter_L, thee_L, hahaa_L, written_L",/When you're out in the club,01530624766b3be63c7709c6581c335d,978,6,62.04,99,99,25.77,6,0,100,83.33,16.67,16.67,0,0,16.67,0,0,0,16.67,33.33,16.67,16.67,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,16.67,0,50,0,33.33,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,16.67,0,16.67
13,0.942499995,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Dear people of Facebook, I would really like your opinion on a matter. If you could please spare some time and choose which of these poem titles you like best. Thank you. The titles are: /Behind this Grin/"" /""The Delusional Murder/"" /""It's Snowing/"" /""Buried Alive/"" or /""The Voodoo Doll./"" Your help would be much appreciated. Thank you :)""",01530624766b3be63c7709c6581c335d,985,58,50.74,98.06,1.97,99,11.6,10.34,84.48,50,18.97,12.07,1.72,0,10.34,0,0,6.9,6.9,8.62,10.34,1.72,5.17,0,15.52,3.45,3.45,1.72,0,3.45,17.24,15.52,1.72,0,1.72,0,17.24,0,1.72,0,0,17.24,3.45,0,6.9,6.9,0,5.17,0,0,0,0,1.72,0,1.72,0,0,6.9,5.17,1.72,3.45,1.72,0,0,8.62,0,5.17,0,3.45,1.72,0,1.72,0,0,0,5.17,1.72,0,1.72,0,0,0,48.28,8.62,1.72,1.72,0,0,0,0,17.24,1.72,0,17.24
13,0.902499974,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Life is not a fairytale. There is no such thing as a happy ending. I've seen this, watched you hurt. Why am I here? Why was I born? There is always so much work",01530624766b3be63c7709c6581c335d,991,34,1,11.97,47.25,25.77,5.67,5.88,97.06,67.65,17.65,11.76,8.82,0,2.94,0,0,5.88,5.88,2.94,17.65,20.59,5.88,5.88,26.47,5.88,2.94,5.88,0,2.94,5.88,2.94,2.94,0,0,2.94,2.94,0,0,0,0,11.76,0,5.88,0,0,2.94,2.94,8.82,5.88,0,2.94,2.94,0,2.94,0,0,2.94,0,2.94,0,0,0,11.76,17.65,0,8.82,0,0,8.82,2.94,0,0,0,0,0,0,0,0,0,0,0,20.59,8.82,2.94,0,0,5.88,0,0,0,2.94,0,0
13,0.861000001,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",I remember last year when it was you and me. I miss that. The time when I thought my love for you would last forever.,01530624766b3be63c7709c6581c335d,1024,25,1,50,99,25.77,8.33,12,100,64,36,28,20,0,8,0,0,8,4,4,8,8,12,0,20,0,0,8,0,0,8,4,4,0,0,4,12,0,0,0,0,16,8,0,4,0,4,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,8,4,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
13,0.758000016,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Ok. Here we go. Like this status and I'll tell you what I like about you.,01530624766b3be63c7709c6581c335d,1053,16,1,99,35.37,99,5.33,0,100,68.75,43.75,31.25,12.5,6.25,12.5,0,0,12.5,0,12.5,6.25,12.5,6.25,0,25,0,6.25,6.25,0,0,12.5,12.5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,6.25,0,0,0,12.5,6.25,6.25,6.25,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,25,18.75,0,0,0,0,0,0,0,6.25,0,0
13,0.891700029,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",I'm sexy like a lion. Too bad I can't roar. Lol. Randomly screaming at 7 in the morning. Fun!,01530624766b3be63c7709c6581c335d,1095,19,93.26,1.81,96.09,97.58,3.8,15.79,84.21,47.37,10.53,10.53,10.53,0,0,0,0,0,10.53,15.79,5.26,5.26,0,5.26,5.26,10.53,5.26,0,5.26,0,26.32,15.79,10.53,0,0,0,0,0,0,0,0,10.53,0,0,0,5.26,0,5.26,5.26,0,5.26,0,5.26,0,0,5.26,0,5.26,0,0,0,0,5.26,0,10.53,0,15.79,0,10.53,5.26,0,5.26,0,0,0,0,5.26,0,5.26,0,0,0,36.84,21.05,0,0,0,0,5.26,0,0,10.53,0,0
13,0.902499974,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Funny how my head can rip me apart, and no one ever knows. Maybe I deserve to suffer. I mean, after all, I'm losing what I loved most.",01530624766b3be63c7709c6581c335d,1129,28,3.47,1,99,25.77,9.33,3.57,92.86,53.57,25,21.43,21.43,0,0,0,0,3.57,0,7.14,7.14,10.71,7.14,3.57,17.86,14.29,7.14,7.14,3.57,7.14,14.29,7.14,7.14,0,0,7.14,3.57,0,0,0,0,28.57,7.14,3.57,0,7.14,7.14,3.57,0,0,0,0,7.14,3.57,0,0,0,7.14,3.57,3.57,0,0,3.57,0,17.86,0,10.71,0,3.57,7.14,0,0,0,0,0,0,0,0,0,0,0,0,25,10.71,10.71,0,0,0,0,0,0,3.57,0,0
13,0.878300011,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","/I've had reoccuring nightmares that I was loved for who I am and missed the opportunity to be a better man./""""",01530624766b3be63c7709c6581c335d,1132,21,18.82,50,13.15,95.81,21,14.29,95.24,66.67,23.81,14.29,14.29,0,0,0,0,9.52,9.52,9.52,23.81,0,4.76,0,28.57,4.76,4.76,4.76,0,0,23.81,14.29,9.52,0,0,4.76,14.29,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,14.29,4.76,9.52,0,9.52,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,4.76,0,0,0,0,0,0,9.52,4.76,0,9.52
6,0.891700029,"hate_L, statu_L, life_H, ignor_H, solv_H, light_H, problem_H, dark_H, hit_H, afraid_H",I much prefer the dark over the light cuz shadows cushion the harsh lines of reality.,01530624766b3be63c7709c6581c335d,1140,16,99,26.6,7.84,1,16,18.75,75,43.75,6.25,6.25,6.25,0,0,0,0,0,18.75,12.5,0,0,6.25,0,0,0,0,0,0,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,12.5,6.25,6.25,6.25,0,0,0,18.75,12.5,0,6.25,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
13,0.838,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Today is so strange. Nothing's going right, but things aren't entirely bad either.",01530624766b3be63c7709c6581c335d,1216,13,1,1,99,1,6.5,23.08,92.31,38.46,7.69,0,0,0,0,0,0,7.69,0,0,15.38,7.69,15.38,7.69,23.08,15.38,7.69,0,0,15.38,15.38,0,15.38,0,0,0,0,0,0,0,0,30.77,0,0,0,0,7.69,23.08,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,7.69,0,23.08,7.69,23.08,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,38.46,15.38,7.69,0,0,0,0,0,0,15.38,0,0
13,0.466100007,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Don't be afraid Lille Venn of violence... I'm only poisoning you, not going to stab you.  **bobsnewline**  **bobsnewline** Don't be afraid Lille Venn of my troubled mind... I'm just poisoning you a little with my gloom.",03b6072a243347cf634eee1018be408d,1645,36,13.94,28.91,39.76,1,9,16.67,77.78,52.78,19.44,19.44,11.11,0,8.33,0,0,0,2.78,11.11,16.67,5.56,0,8.33,19.44,5.56,0,0,0,0,19.44,0,19.44,5.56,5.56,2.78,8.33,0,0,0,0,2.78,0,0,0,0,0,2.78,2.78,2.78,0,0,5.56,0,5.56,0,0,2.78,0,0,0,0,2.78,0,16.67,2.78,5.56,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33,22.22,2.78,0,0,0,0,0,0,11.11,0,22.22
13,0.891700029,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Well isnt this cool. my genius of a sister stole the ds from my room and dropped it off of her bed breaking the top screen off,0467ce1e63e2a48da92e1ff53f052829,1801,27,89.09,22.95,58.07,99,13.5,7.41,85.19,59.26,18.52,11.11,7.41,0,0,3.7,0,7.41,11.11,18.52,3.7,3.7,3.7,3.7,7.41,7.41,3.7,0,0,0,7.41,7.41,0,0,0,0,7.41,3.7,0,7.41,0,3.7,0,0,0,0,0,3.7,7.41,3.7,0,3.7,0,0,0,0,0,11.11,3.7,3.7,3.7,3.7,0,3.7,3.7,0,14.81,0,14.81,0,0,0,7.41,0,0,0,7.41,0,0,3.7,3.7,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0
13,0.891700029,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",An ok day becomes a GREAT day when you find out you get a 4 day weekend!!!!,04a3601e8b319f740167723a58c488e7,2048,17,85.92,99,99,99,17,11.76,94.12,47.06,11.76,11.76,0,0,11.76,0,0,0,17.65,5.88,5.88,5.88,5.88,0,17.65,5.88,0,5.88,5.88,0,11.76,11.76,0,0,0,0,11.76,0,0,0,0,11.76,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,11.76,0,0,17.65,0,35.29,0,5.88,29.41,0,5.88,0,0,0,0,5.88,0,0,5.88,0,0,23.53,0,0,0,0,0,23.53,0,0,0,0,0
13,0.838,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","/In three words i can sum up everything I've learned about life: It goes on. /""""",04a3601e8b319f740167723a58c488e7,2100,15,52.71,25.24,99,25.77,15,13.33,86.67,60,26.67,13.33,13.33,0,0,0,0,13.33,0,26.67,13.33,6.67,0,0,20,0,0,0,6.67,0,0,0,0,0,0,0,6.67,0,0,0,0,13.33,6.67,0,0,0,6.67,0,0,0,0,0,6.67,0,6.67,0,0,6.67,0,0,6.67,0,0,6.67,20,0,26.67,6.67,20,0,6.67,0,0,0,0,0,0,0,0,0,0,0,46.67,6.67,0,6.67,0,0,0,0,13.33,6.67,0,13.33
0,0.066699997,"differ_L, right_L, word_L, geniu_L, stupid_L, held_L, button_L, love_L, wrong_L, lightn_L",/Life is like a mirror,04a3601e8b319f740167723a58c488e7,2104,5,99,50,1,25.77,5,0,80,60,0,0,0,0,0,0,0,0,20,20,20,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20
13,0.878300011,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",It's an amazing feeling when you realize that your dream life isn't to far from the reality you're living <3,04a3601e8b319f740167723a58c488e7,2105,20,15.77,97.69,74.76,96.76,20,20,90,55,25,15,0,0,15,0,0,10,10,10,15,5,5,5,30,10,0,5,5,0,5,5,0,0,0,0,15,0,0,0,0,15,10,0,0,0,0,5,5,0,0,5,10,0,10,0,0,0,0,0,0,0,0,0,20,0,10,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,15,0,5
13,0.758000016,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",/Failures are divided into two classes - those who thought and never did,04a3601e8b319f740167723a58c488e7,2167,12,1.92,50,74.76,1,12,33.33,91.67,58.33,16.67,0,0,0,0,0,0,16.67,0,8.33,16.67,8.33,8.33,8.33,25,0,0,8.33,8.33,0,8.33,0,8.33,0,0,8.33,8.33,0,0,0,0,16.67,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,8.33,0,8.33,8.33,8.33,0,16.67,0,8.33,8.33,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,8.33,0,0,0,8.33
13,0.805899978,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Ahh November. A new month. A fresh start.,04a3601e8b319f740167723a58c488e7,2177,8,99,50,99,25.77,2.67,12.5,100,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,12.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,50,0,0,50,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,37.5,37.5,0,0,0,0,0,0,0,0,0,0
